ELECTION_DISTRICT,DISTRICT,TOWN,BALLOT_BOX,ELECTION_CENTRE,CENTRE,PARTY,VOTES
ΛΕΥΚΩΣΙΑ,ΛΕΥΚΩΣΙΑ,ΛΕΥΚΩΣΙΑ,003,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΑΓΙΟΥ ΑΝΔΡΕΟΥ,ΚΕΝΤΡΟ Γ,ΕΘΝΙΚΟ ΛΑΪΚΟ ΜΕΤΩΠΟ (Ε.ΛΑ.Μ.),13
ΛΕΥΚΩΣΙΑ,ΛΕΥΚΩΣΙΑ,ΛΕΥΚΩΣΙΑ,003,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΑΓΙΟΥ ΑΝΔΡΕΟΥ,ΚΕΝΤΡΟ Γ,ΕΝΕΡΓΟΙ ΠΟΛΙΤΕΣ-ΚΙΝΗΜΑ ΕΝ.ΚΥΠ. ΚΥΝΗΓΩΝ,0
ΛΕΥΚΩΣΙΑ,ΛΕΥΚΩΣΙΑ,ΛΕΥΚΩΣΙΑ,003,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΑΓΙΟΥ ΑΝΔΡΕΟΥ,ΚΕΝΤΡΟ Γ,ΚΙΝΗΜΑ ΟΙΚΟΛΟΓΩΝ-ΣΥΝΕΡΓΑΣΙΑ ΠΟΛΙΤΩΝ,40
ΛΕΥΚΩΣΙΑ,ΛΕΥΚΩΣΙΑ,ΛΕΥΚΩΣΙΑ,003,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΑΓΙΟΥ ΑΝΔΡΕΟΥ,ΚΕΝΤΡΟ Γ,ΚΙΝΗΜΑ ΣΟΣΙΑΛΔΗΜΟΚΡΑΤΩΝ ΕΔΕΚ,15
ΛΕΥΚΩΣΙΑ,ΛΕΥΚΩΣΙΑ,ΛΕΥΚΩΣΙΑ,003,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΑΓΙΟΥ ΑΝΔΡΕΟΥ,ΚΕΝΤΡΟ Γ,ΚΟΜΜΑ ΓΙΑ ΤΑ ΖΩΑ ΚΥΠΡΟΥ,3
ΛΕΥΚΩΣΙΑ,ΛΕΥΚΩΣΙΑ,ΛΕΥΚΩΣΙΑ,003,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΑΓΙΟΥ ΑΝΔΡΕΟΥ,ΚΕΝΤΡΟ Γ,ΠΑΤΡΙΩΤΙΚΟΣ ΣΥΝΑΣΠΙΣΜΟΣ,1
ΛΕΥΚΩΣΙΑ,ΛΕΥΚΩΣΙΑ,ΛΕΥΚΩΣΙΑ,003,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΑΓΙΟΥ ΑΝΔΡΕΟΥ,ΚΕΝΤΡΟ Γ,ΠΝΟΗ ΛΑΟΥ,7
ΛΕΥΚΩΣΙΑ,ΛΕΥΚΩΣΙΑ,ΛΕΥΚΩΣΙΑ,003,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΑΓΙΟΥ ΑΝΔΡΕΟΥ,ΚΕΝΤΡΟ Γ,ΜΑΡΔΑΠΗΤΤΑΣ ΧΡΥΣΑΝΘΟΣ,1
ΛΕΥΚΩΣΙΑ,ΛΕΥΚΩΣΙΑ,ΛΕΥΚΩΣΙΑ,003,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΑΓΙΟΥ ΑΝΔΡΕΟΥ,ΚΕΝΤΡΟ Γ,ΧΡΙΣΤΟΥ ΑΝΔΡΕΑΣ,3
ΛΕΥΚΩΣΙΑ,ΛΕΥΚΩΣΙΑ,ΛΕΥΚΩΣΙΑ,003,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΑΓΙΟΥ ΑΝΔΡΕΟΥ,ΚΕΝΤΡΟ Γ,ΧΡΥΣΑΝΘΟΥ ΣΠΥΡΟΣ,0
ΛΕΥΚΩΣΙΑ,ΛΕΥΚΩΣΙΑ,ΛΕΥΚΩΣΙΑ,003,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΑΓΙΟΥ ΑΝΔΡΕΟΥ,ΚΕΝΤΡΟ Γ,ΘΕΜΙΣΤΟΚΛΕΟΥΣ ΑΒΡΑΑΜ,0
ΛΕΥΚΩΣΙΑ,ΛΕΥΚΩΣΙΑ,ΛΕΥΚΩΣΙΑ,003,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΑΓΙΟΥ ΑΝΔΡΕΟΥ,ΚΕΝΤΡΟ Γ,ΠΟΥΡΓΟΥΡΙΔΗΣ ΕΥΑΓΓΕΛΟΣ,0
ΛΕΥΚΩΣΙΑ,ΛΕΥΚΩΣΙΑ,ΛΕΥΚΩΣΙΑ,003,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΑΓΙΟΥ ΑΝΔΡΕΟΥ,ΚΕΝΤΡΟ Γ,ΣΠΑΡΟΣ ΦΟΙΒΟΣ,0
ΛΕΥΚΩΣΙΑ,ΛΕΥΚΩΣΙΑ,ΛΕΥΚΩΣΙΑ,003,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΑΓΙΟΥ ΑΝΔΡΕΟΥ,ΚΕΝΤΡΟ Γ,ΧΡΙΣΤΟΔΟΥΛΟΥ ΧΡΙΣΤΟΔΟΥΛΟΣ,0
ΛΕΥΚΩΣΙΑ,ΛΕΥΚΩΣΙΑ,ΛΕΥΚΩΣΙΑ,004,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΑΓΙΟΥ ΑΝΔΡΕΟΥ,ΚΕΝΤΡΟ Δ,ΑΚΕΛ (ΑΝΟΡΘΩΤΙΚΟ ΚΟΜΜΑ ΕΡΓΑΖΟΜΕΝΟΥ ΛΑΟΥ),31
ΛΕΥΚΩΣΙΑ,ΛΕΥΚΩΣΙΑ,ΛΕΥΚΩΣΙΑ,004,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΑΓΙΟΥ ΑΝΔΡΕΟΥ,ΚΕΝΤΡΟ Δ,ΑΛΛΑΓΗ ΓΕΝΙΑΣ,3
ΛΕΥΚΩΣΙΑ,ΛΕΥΚΩΣΙΑ,ΛΕΥΚΩΣΙΑ,004,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΑΓΙΟΥ ΑΝΔΡΕΟΥ,ΚΕΝΤΡΟ Δ,ΑΛΛΗΛΕΓΓΥΗ,14
ΛΕΥΚΩΣΙΑ,ΛΕΥΚΩΣΙΑ,ΛΕΥΚΩΣΙΑ,004,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΑΓΙΟΥ ΑΝΔΡΕΟΥ,ΚΕΝΤΡΟ Δ,ΑΜΜΟΧΩΣΤΟΣ ΓΙΑ ΤΗΝ ΚΥΠΡΟ,16
ΛΕΥΚΩΣΙΑ,ΛΕΥΚΩΣΙΑ,ΛΕΥΚΩΣΙΑ,004,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΑΓΙΟΥ ΑΝΔΡΕΟΥ,ΚΕΝΤΡΟ Δ,ΑΦΥΠΝΙΣΗ -2020-,6
